Game Number,Final Step,Multiplier,Outcome,Winnings,Cost,Crash Point,Cashout Point,Used Bonus
9215,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
9216,20,46.82,Cashed out,46.82,45.36,24,20,Mystic
9217,18,31.87,Crashed during move,0.00,27.35,20,20,Mystic
9218,0,1.00,Crashed during move,0.00,1.00,1,20,
9219,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9220,13,12.18,Crashed during move,0.00,4.85,16,20,Mystic
9221,0,1.00,Crashed during move,0.00,1.00,1,20,
9222,14,14.77,Crashed during move,0.00,5.67,15,20,Mystic
9223,0,1.00,Crashed during move,0.00,1.00,3,20,
9224,6,3.17,Crashed during move,0.00,4.85,8,20,Mystic
9225,0,1.00,Crashed during move,0.00,1.00,1,20,
9226,10,6.84,Crashed during move,0.00,5.67,11,20,Mystic
9227,0,1.00,Crashed during move,0.00,1.00,1,20,
9228,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9229,20,46.82,Cashed out,46.82,187.32,27,20,Mystic
9230,0,1.00,Crashed during move,0.00,1.00,9,20,
9231,5,2.62,Crashed during move,0.00,4.85,12,20,Mystic
9232,17,26.29,Crashed during move,0.00,26.59,18,20,Mystic
9233,20,46.82,Cashed out,46.82,176.28,29,20,Mystic
9234,10,6.84,Crashed during move,0.00,6.66,11,20,Mystic
9235,16,21.69,Crashed during move,0.00,36.78,17,20,Mystic
9236,1,1.21,Crashed during move,0.00,1.00,2,20,
9237,4,2.16,Crashed during move,0.00,4.85,7,20,Mystic
9238,10,6.84,Crashed during move,0.00,4.85,13,20,Mystic
9239,0,1.00,Crashed during move,0.00,1.00,1,20,
9240,20,46.82,Cashed out,46.82,135.92,33,20,Mystic
9241,20,46.82,Cashed out,46.82,73.92,22,20,Mystic
9242,0,1.00,Crashed during move,0.00,1.00,4,20,
9243,0,1.00,Crashed during move,0.00,1.00,2,20,
9244,6,3.17,Crashed during move,0.00,4.85,15,20,Mystic
9245,0,1.00,Crashed during move,0.00,1.00,5,20,
9246,0,1.00,Crashed during move,0.00,1.00,2,20,
9247,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
9248,19,38.63,Crashed during move,0.00,31.20,20,20,Mystic
9249,13,12.18,Crashed during move,0.00,4.85,15,20,Mystic
9250,0,1.00,Crashed during move,0.00,1.00,3,20,
9251,20,46.82,Cashed out,46.82,179.93,38,20,Mystic
9252,3,1.78,Crashed during move,0.00,1.00,5,20,
9253,19,38.63,Crashed during move,0.00,34.20,20,20,Mystic
9254,20,46.82,Cashed out,46.82,73.77,29,20,Mystic
9255,3,1.78,Crashed during move,0.00,1.00,4,20,
9256,0,1.00,Crashed during move,0.00,1.00,1,20,
9257,20,46.82,Cashed out,46.82,132.44,33,20,Mystic
9258,0,1.00,Crashed during move,0.00,1.00,5,20,
9259,20,46.82,Cashed out,46.82,61.71,25,20,Mystic
9260,20,46.82,Cashed out,46.82,4.85,22,20,Mystic
9261,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
9262,4,2.16,Crashed during move,0.00,4.85,6,20,Mystic
9263,0,1.00,Crashed during move,0.00,1.00,6,20,
9264,18,31.87,Crashed during move,0.00,4.85,19,20,Mystic
9265,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
9266,16,21.69,Crashed during move,0.00,27.35,19,20,Mystic
9267,0,1.00,Crashed during move,0.00,1.00,6,20,
9268,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
9269,6,3.17,Crashed during move,0.00,4.85,9,20,Mystic
9270,20,46.82,Cashed out,46.82,27.40,22,20,Mystic
9271,20,46.82,Cashed out,46.82,149.30,23,20,Mystic
9272,9,5.65,Crashed during move,0.00,7.86,12,20,Mystic
9273,0,1.00,Crashed during move,0.00,1.00,3,20,
9274,10,6.84,Crashed during move,0.00,4.85,11,20,Mystic
9275,0,1.00,Crashed during move,0.00,1.00,2,20,
9276,0,1.00,Crashed during move,0.00,1.00,1,20,
9277,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9278,19,38.63,Crashed during move,0.00,38.59,20,20,Mystic
9279,0,1.00,Crashed during move,0.00,1.00,1,20,
9280,0,1.00,Crashed during move,0.00,1.00,8,20,
9281,17,26.29,Crashed during move,0.00,61.71,19,20,Mystic
9282,8,4.66,Crashed during move,0.00,4.85,11,20,Mystic
9283,20,46.82,Cashed out,46.82,26.59,34,20,Mystic
9284,20,46.82,Cashed out,46.82,57.98,25,20,Mystic
9285,9,5.65,Crashed during move,0.00,4.85,18,20,Mystic
9286,0,1.00,Crashed during move,0.00,1.00,3,20,
9287,6,3.17,Crashed during move,0.00,4.85,10,20,Mystic
9288,0,1.00,Crashed during move,0.00,1.00,1,20,
9289,3,1.78,Crashed during move,0.00,1.00,4,20,
9290,0,1.00,Crashed during move,0.00,1.00,4,20,
9291,4,2.16,Crashed during move,0.00,4.85,9,20,Mystic
9292,0,1.00,Crashed during move,0.00,1.00,4,20,
9293,20,46.82,Cashed out,46.82,127.83,28,20,Mystic
9294,0,1.00,Crashed during move,0.00,1.00,4,20,
9295,7,3.84,Crashed during move,0.00,4.85,9,20,Mystic
9296,8,4.66,Crashed during move,0.00,4.85,16,20,Mystic
9297,0,1.00,Crashed during move,0.00,1.00,1,20,
9298,3,1.78,Crashed during move,0.00,4.85,9,20,Mystic
9299,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
9300,20,46.82,Cashed out,46.82,37.60,23,20,Mystic
9301,4,2.16,Crashed during move,0.00,4.85,13,20,Mystic
9302,20,46.82,Cashed out,46.82,97.31,24,20,Mystic
9303,20,46.82,Cashed out,46.82,36.78,22,20,Mystic
9304,20,46.82,Cashed out,46.82,31.20,30,20,Mystic
9305,6,3.17,Crashed during move,0.00,4.85,13,20,Mystic
9306,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
9307,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9308,20,46.82,Cashed out,46.82,128.64,32,20,Mystic
9309,3,1.78,Crashed during move,0.00,1.00,4,20,
9310,20,46.82,Cashed out,46.82,43.55,22,20,Mystic
9311,8,4.66,Crashed during move,0.00,5.67,9,20,Mystic
9312,20,46.82,Cashed out,46.82,26.59,23,20,Mystic
9313,20,46.82,Cashed out,46.82,4.85,29,20,Mystic
9314,20,46.82,Cashed out,46.82,31.20,21,20,Mystic
9315,20,46.82,Cashed out,46.82,106.31,22,20,Mystic
9316,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9317,11,8.29,Crashed during move,0.00,4.85,12,20,Mystic
9318,12,10.05,Crashed during move,0.00,1.00,13,20,
9319,15,17.90,Crashed during move,0.00,26.59,16,20,Mystic
9320,8,4.66,Crashed during move,0.00,4.85,12,20,Mystic
9321,0,1.00,Crashed during move,0.00,1.00,1,20,
9322,9,5.65,Crashed during move,0.00,7.86,10,20,Mystic
9323,0,1.00,Crashed during move,0.00,1.00,7,20,
9324,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9325,0,1.00,Crashed during move,0.00,1.00,4,20,
9326,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
9327,11,8.29,Crashed during move,0.00,4.85,13,20,Mystic
9328,5,2.62,Crashed during move,0.00,4.85,11,20,Mystic
9329,20,46.82,Cashed out,46.82,113.12,22,20,Mystic
9330,0,1.00,Crashed during move,0.00,1.00,1,20,
9331,0,1.00,Crashed during move,0.00,1.00,2,20,
9332,4,2.16,Crashed during move,0.00,4.85,7,20,Mystic
9333,7,3.84,Crashed during move,0.00,4.85,10,20,Mystic
9334,0,1.00,Crashed during move,0.00,1.00,1,20,
9335,0,1.00,Crashed during move,0.00,1.00,8,20,
9336,20,46.82,Cashed out,46.82,63.97,23,20,Mystic
9337,0,1.00,Crashed during move,0.00,1.00,2,20,
9338,0,1.00,Crashed during move,0.00,1.00,1,20,
9339,17,26.29,Crashed during move,0.00,7.86,19,20,Mystic
9340,20,46.82,Cashed out,46.82,38.59,30,20,Mystic
9341,0,1.00,Crashed during move,0.00,1.00,2,20,
9342,6,3.17,Crashed during move,0.00,4.85,8,20,Mystic
9343,6,3.17,Crashed during move,0.00,4.85,10,20,Mystic
